Program,ProgramAbbr,AcademicYear,SchoolYear,CourseID,CourseName,CourseBegin,CourseEnd,Rotation,Campus,EvalName,EvalTitle,EvalType,EvaluatorUserID,EvaluatorNetID,EvaluatorFirst,EvaluatorLast,EvaluateeNetID,EvaluateeFirst,EvaluateeLast,QuestionID,QuestionNumber,QuestionType,QuestionText,ResponseNum,ResponseText,ResponseValue,SummaryStatus,Theme,RubricComment,evalLinkID,evalType,,
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835432,ffrost,Franky,Frost,user9547,Kevin,Moose,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835433,ffrost,Franky,Frost,user9511,Kelly,Spark,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,,Students Peer Evaluation,anon. (de-identified),anon. (de-identified),anon. (de-identified),anon. (de-identified),user9576,Mark,Baiti,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,Closed,,,524,SOS,S,S
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483829,admin,Leo,Administrator,user9493,Sam,Wake,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,Closed,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13998,Cellular Biology,9/1/14,9/5/14,5,North Campus,Clinical Faculty: Evaluation of students,,Clinical Faculty evaluating Students,1498497,admin,Leo,Administrator,user9499,Jose,Angel,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,,,,630,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,,Clinical Faculty evaluating Students,1500177,admin,Leo,Administrator,alphonse,Alphonse,Alberto,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,,,,923,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1520434,admin,Leo,Administrator,user9562,Ralph,Waldo,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,Approved,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,,Students Peer Evaluation,anon. (de-identified),anon. (de-identified),anon. (de-identified),anon. (de-identified),user9576,Mark,Baiti,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Closed,,,524,SOS,S,S
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483829,admin,Leo,Administrator,user9493,Sam,Wake,68,2,Radio,How often was this student prepared for their events?,2,Sometimes,3,Closed,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13998,Cellular Biology,9/1/14,9/5/14,5,North Campus,Clinical Faculty: Evaluation of students,,Clinical Faculty evaluating Students,1498497,admin,Leo,Administrator,user9499,Jose,Angel,68,2,Radio,How often was this student prepared for their events?,2,Sometimes,3,,,,630,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,,Clinical Faculty evaluating Students,1500177,admin,Leo,Administrator,alphonse,Alphonse,Alberto,68,2,Radio,How often was this student prepared for their events?,2,Sometimes,3,,,,923,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1520434,admin,Leo,Administrator,user9562,Ralph,Waldo,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Approved,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,,Students Peer Evaluation,anon. (de-identified),anon. (de-identified),anon. (de-identified),anon. (de-identified),user9576,Mark,Baiti,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,,,,524,SOS,S,S
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,,Students Peer Evaluation,anon. (de-identified),anon. (de-identified),anon. (de-identified),anon. (de-identified),user9576,Mark,Baiti,68,2,Radio,How often was this student prepared for their events?,3,Often,4,,,,524,SOS,S,S
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483817,jane,Jane,Alexandra,user9493,Sam,Wake,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483818,jane,Jane,Alexandra,user9562,Ralph,Waldo,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483817,jane,Jane,Alexandra,user9493,Sam,Wake,68,2,Radio,How often was this student prepared for their events?,2,Sometimes,3,,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483818,jane,Jane,Alexandra,user9562,Ralph,Waldo,68,2,Radio,How often was this student prepared for their events?,3,Often,4,,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13998,Cellular Biology,9/1/14,9/5/14,5,North Campus,Clinical Faculty: Evaluation of students,,Clinical Faculty evaluating Students,1505453,cam25, Craig,McPherson,user9499,Jose,Angel,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,Submitted,,,630,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13998,Cellular Biology,9/1/14,9/5/14,5,North Campus,Clinical Faculty: Evaluation of students,,Clinical Faculty evaluating Students,1505453,cam25, Craig,McPherson,user9499,Jose,Angel,68,2,Radio,How often was this student prepared for their events?,2,Sometimes,3,Submitted,,,630,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483834,phyllis,Phyllis,Psychiatrist,user9562,Ralph,Waldo,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,Closed,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2014/2015,MED First Year,13970,Cellular Biology,5/26/14,5/30/14,10,East Campus,Clinical Faculty: Evaluation of students,RRB CF eval Student,Clinical Faculty evaluating Students,1483834,phyllis,Phyllis,Psychiatrist,user9562,Ralph,Waldo,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Closed,,,535,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865261,admin,Leo,Administrator,student_samuel,Samuel,Student,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2363879,admin,Leo,Administrator,wblack,Walter,Black,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2586443,admin,Leo,Administrator,wblack,Walter,Black,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,Closed,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2586444,admin,Leo,Administrator,user9002,Plasti,Agnio,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,Closed,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656124,admin,Leo,Administrator,student_samuel,Samuel,Student,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656125,admin,Leo,Administrator,user9002,Plasti,Agnio,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656126,admin,Leo,Administrator,wblack,Walter,Black,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656127,admin,Leo,Administrator,LStone,Lucy,Stone,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865261,admin,Leo,Administrator,student_samuel,Samuel,Student,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2363879,admin,Leo,Administrator,wblack,Walter,Black,68,2,Radio,How often was this student prepared for their events?,3,Often,4,,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2586443,admin,Leo,Administrator,wblack,Walter,Black,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Closed,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2586444,admin,Leo,Administrator,user9002,Plasti,Agnio,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,Closed,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656124,admin,Leo,Administrator,student_samuel,Samuel,Student,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656125,admin,Leo,Administrator,user9002,Plasti,Agnio,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656126,admin,Leo,Administrator,wblack,Walter,Black,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656127,admin,Leo,Administrator,LStone,Lucy,Stone,68,2,Radio,How often was this student prepared for their events?,3,Often,4,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865261,admin,Leo,Administrator,student_samuel,Samuel,Student,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2363879,admin,Leo,Administrator,wblack,Walter,Black,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2586443,admin,Leo,Administrator,wblack,Walter,Black,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2586444,admin,Leo,Administrator,user9002,Plasti,Agnio,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656124,admin,Leo,Administrator,student_samuel,Samuel,Student,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656125,admin,Leo,Administrator,user9002,Plasti,Agnio,239,3,List,Does this student meet the Course requirements?,1,No,0,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656126,admin,Leo,Administrator,wblack,Walter,Black,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2656127,admin,Leo,Administrator,LStone,Lucy,Stone,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865262,jane,Jane,Alexandra,wblack,Walter,Black,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865262,jane,Jane,Alexandra,wblack,Walter,Black,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865262,jane,Jane,Alexandra,wblack,Walter,Black,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124234,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2300972,user4611,Kimmy,Baxter,user9002,Plasti,Agnio,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2300972,user4611,Kimmy,Baxter,user9002,Plasti,Agnio,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2020/2021,MED Second Year,14548,"Medical Science, 5",1/4/21,5/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,2300972,user4611,Kimmy,Baxter,user9002,Plasti,Agnio,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124291,CFS,S,F
MEDICINE,MD2011,SOM 2019/2020,MED Second Year,14537,"Medical Science, 5",11/20/19,3/16/20,1,Main Campus,Clinical Faculty: Evaluation of students,TEST emails,Clinical Faculty evaluating Students,1865264,sanjay,Sanjay,Scientist,user9002,Plasti,Agnio,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,,,,124234,CFS,S,F
